,Theta Amplitude Diff,N400 Amplitude Diff,"N400 ((350, 400)) Unrelated","N400 ((350, 400)) Related",Theta ((350-550)) Unrelated,Theta ((350-550)) Related
0,-0.30189,1.7286188782006502,1.384049054980278,-0.3445698232203722,-0.50534,-0.20345
1,-0.004830000000000001,0.20451560399495067,-0.16726097934879364,-0.3717765833437443,0.38977,0.3946
2,0.70531,1.6735283608920872,1.4091258708387613,-0.2644024900533259,0.60044,-0.10487
3,0.4254,1.0665982253407127,0.13424327972577885,-0.9323549456149339,0.32059,-0.10480999999999999
4,-0.236346,-1.5801123225176708,0.748129172376357,2.3282414948940278,-0.17404,0.06230599999999999
5,-0.15299999999999997,-0.34949028076604005,-0.6423199018836021,-0.29282962111756206,0.06137000000000001,0.21436999999999998
6,0.07804,-1.8846749134920537,-0.5516902177594603,1.3329846957325935,0.45835,0.38031
7,-0.97881,-1.2294207551213912,-0.05231327964691445,1.1771074754744768,-0.16097,0.81784
8,-1.0396969999999999,-3.288016491234303,-1.5229845029860736,1.765031988248229,-1.1094,-0.069703
9,-1.45919,2.0974226050265132,0.0617494541592896,-2.0356731508672237,-0.49727,0.9619200000000001
10,-0.85724,-6.07136833190918,-4.306342639923096,1.765025691986084,-0.39604,0.4612
11,-0.117251,-0.08153655156493178,1.134225563853979,1.2157621154189109,0.076019,0.19327
12,-0.54243,-0.9478611308336258,1.476894285082817,2.424755415916443,-0.69904,-0.15661
13,-0.9342100000000001,-3.3050677574425937,-2.23566823579371,1.0693995216488839,-1.6082,-0.67399
14,0.15835,0.6414145015180113,-1.3392698796093463,-1.9806843811273576,-0.43377,-0.59212
15,-0.38417,-1.5185226882994174,-2.213037679195404,-0.6945149908959866,0.18767999999999999,0.57185
16,0.28291900000000003,-0.27552753339870834,-0.02208408437669277,0.25344344902201554,-0.031251,-0.31417
17,-0.17640000000000003,2.263770588133484,2.283569349050522,0.019798760917037726,-0.29799000000000003,-0.12159
18,0.27521019999999996,2.1662963616847994,4.178738920688629,2.01244255900383,0.0033602,-0.27185
19,-0.6212099999999999,-0.4412646931409835,0.7536787815392018,1.1949434746801852,-0.9270799999999999,-0.30587
20,-0.50423,-1.0016852686787026,-0.3328431222820655,0.668842146396637,0.13601,0.6402399999999999
21,0.19964200000000001,0.3065837438800372,0.5958605967694893,0.28927685288945215,0.18487,-0.014772
22,-0.87478,-1.2753287290618753,-0.5912221754016355,0.68410655366024,-0.49166000000000004,0.38311999999999996
23,-0.64139,-1.747389207780361,-2.2432908141613006,-0.4959016063809395,0.18293,0.82432
24,-0.22022899999999998,-0.24285611335653812,-0.08477118068840354,0.15808493266813456,-0.2002,0.020028999999999998
25,-0.7385500000000002,-2.903361324965954,-1.6466659696400165,1.2566953553259372,-1.2491,-0.51055
26,-0.8070299999999999,-0.053648915463127195,-0.2077536244923249,-0.1541047090291977,-0.54797,0.25906
27,-1.84344,0.25363873958587657,2.783529373407364,2.5298906338214873,-0.8759100000000001,0.9675299999999999
28,-0.87358,-0.22154500912409278,-0.2508395935012959,-0.029294584377203135,-0.45802,0.41556000000000004
29,-1.47934,-1.2696190940961243,-0.6862823640927672,0.583336730003357,-0.6844100000000001,0.79493
30,-1.2030800000000001,-1.2393360335007308,1.8369472938403488,3.0762833273410797,-0.45627,0.7468100000000001
